geneSymbol	HS01	HS02	HS03	HS04	HS05	CL08	CL10	CL11	CL12	CL13
TXNDC5	6.571146251767801	6.933527967418357	6.8559458086805	6.837421277910679	7.778716299956208	9.718028766778813	9.251976570484949	9.217000502451084	9.94723285207402	8.312839936957003
ITM2C	4.179070827335379	4.496212817315176	4.370115947005025	4.525440936117858	5.69469759047058	7.067409022922272	6.569227595838547	6.264303299417269	7.103088481134886	6.09123287097587
TAPBPL	3.729203325343332	3.6257231155270024	3.549323114195231	3.663837228817921	4.196779938823967	5.930655126120061	5.637226627056487	5.456627000942215	6.105549643110325	5.40582412026047
FAM65C	2.155131225683945	2.691650577382432	3.402948384371248	2.4602938457125862	3.6257088932117956	4.688500122631489	5.166263722983636	5.354615764788872	5.304776240095462	4.952691339327794
CRTAM	-1.2970991443693942	-1.0156862668029307	0.43040622895567066	-0.778849125301847	1.0486400098187503	2.7190100873891234	3.341206347508503	3.6845427382436404	4.342474360408368	3.296894078683783
TRIM22	5.450008086000704	5.759539004804372	6.591476700678436	5.498145819859855	6.864616387738741	8.27114953485108	8.064333596485406	8.972805661483427	8.86610229805557	8.168570349166048
CCDC88C	4.00208500503215	3.8345566261197708	4.632677977233041	3.699227092876261	4.901471011435544	5.781604308859912	6.310188416179691	6.584223247506481	6.315527578001113	6.075650015646024
TSPAN32	-0.4214682522404144	-0.44136662333405285	0.2904201047185131	0.37890315381247275	1.4365188768346377	2.990658042848898	4.168708218243657	4.057688105049781	3.926866800720994	2.590638470676284
IGLV5-45	-4.876367951018018	-6.806627647452251	-4.20006198396375	-5.180930543871455	-2.222328138948477	2.2357603021090724	3.5155316792225264	3.636948001781455	2.5203942138759485	0.3057432741396414
TBC1D10C	1.6069202402873828	1.877536771695488	1.3220018790072539	0.8985150366362015	3.1580315643869588	5.627864560910627	6.124503355189688	6.6753505693946344	6.9186147677307215	5.291579337145411
PVRIG	0.8840181919827572	1.2004239139205	1.2492627730810584	0.7852904788205208	1.8510958181216544	2.903502455246928	3.368767843033838	3.7320928598804097	4.002566705954217	2.998372883801756
TMEM229B	1.9604586321820408	1.5968949438909346	1.7740113198893106	1.7233013231839844	2.409514167123078	4.186871587244212	4.715888919938218	5.159390573928081	5.285377805390118	3.906519752981459
MCOLN2	2.2733948188039763	1.9181766980146284	1.9924745244686228	1.9435438791347697	3.3599453196824243	4.442019460293847	4.986988204383856	6.200921217738376	6.444245852552032	5.172313868292128
CMPK2	1.3231395582553471	1.3417413897022377	1.5821444979105062	0.7774245049567737	3.1555362300947754	5.172257983184789	5.066800957391275	6.908980138042512	6.531287056284092	5.364009022751876
TAPBP	6.310828649891383	6.3549804621465436	6.2906567570417264	6.131953950328089	7.027711522038119	8.20474104262292	8.672392482548505	8.835151682388807	9.240665547377667	8.858998761467111
CD244	-0.7362422109967076	-0.5659890531266458	-0.8189195296483253	-0.8031056314775433	0.5808460792199817	2.786965737492483	3.722156915905944	3.5855434249670375	4.968075960952734	3.2216160609405975
APOBEC3H	-2.401790658045477	-2.949459612853104	-2.5166560158101534	-3.641736981376592	-2.222328138948477	0.8002655855553608	1.2659941431520951	2.1081067851881037	3.0159476217603634	1.2660573679377778
HSPA7	2.411532319876457	3.229479791603844	2.3315165979204866	1.7857513046750992	3.286656454801569	5.059852612270639	5.370095604989077	6.375517007773558	5.998912326425441	4.904220639110092
